,date,has_setlist,name,tour,venue
1572,12-03-2010,True,Bloodhound Gang,No Tour Assigned,B1 Maximum Club
1573,11-03-2010,False,múm,No Tour Assigned,Ikra
1574,11-03-2010,False,Luke Leighfield,No Tour Assigned,MSPRKT
1575,08-03-2010,False,Ennio Morricone,No Tour Assigned,Crocus City Hall
1576,08-03-2010,False,:Of the Wand & the Moon:,No Tour Assigned,Dom
1577,07-03-2010,True,Faithless,Faithless Sound System,Expocentre
1578,07-03-2010,False,Bondage Fairies,No Tour Assigned,16 Tons
1579,06-03-2010,False,The Teenagers,No Tour Assigned,16 Tons
1580,17-12-2011,True,Mar de Grises,No Tour Assigned,XO club
1581,17-12-2011,False,S.C.U.M,No Tour Assigned,Dom
1582,17-12-2011,False,Above & Beyond,No Tour Assigned,Expocentre
1583,17-12-2011,False,Deadboy,No Tour Assigned,16 Tons
1584,17-12-2011,False,Kosheen,No Tour Assigned,Stariki Bar
1585,16-12-2011,False,Cosmonauts Day,No Tour Assigned,Under the Ground
1586,16-12-2011,False,Cerebral Ballzy,No Tour Assigned,16 Tons
1587,16-12-2011,True,Dolphin,No Tour Assigned,16 Tons
1588,16-12-2011,False,Majdanek Waltz,No Tour Assigned,Dom
1589,15-12-2011,False,Long Distance Calling,No Tour Assigned,Hleb
1590,15-12-2011,True,Kira Lao,No Tour Assigned,China-Town-Cafe
1591,14-12-2011,True,Within Temptation,The Unforgiving World Tour,Milk
1592,14-12-2011,True,Paul McCartney,On The Run Tour,Olympijskiy Stadium
1593,13-12-2011,True,Suffokate,No Tour Assigned,Plan B Club
1594,13-12-2011,False,Ease of Disgust,No Tour Assigned,Plan B Club
1595,13-12-2011,False,Fun Lovin’ Criminals,No Tour Assigned,Milk
1596,12-12-2011,True,Charles Aznavour,En Toute Intimité,Kremlin Palace
1597,12-12-2011,True,Zemfira,"""12"" Tour",Arena Moscow
1598,12-12-2011,False,Lisa Ekdahl,No Tour Assigned,Crocus City Hall
1599,11-12-2011,True,Ennio Morricone,No Tour Assigned,Kremlin Palace
1600,06-09-2014,False,Chlöe Howl,No Tour Assigned,Muzeon Park
1601,06-09-2014,False,Everything Is Made in China,No Tour Assigned,Muzeon Park
1602,05-09-2014,False,Vatican Shadow,No Tour Assigned,16 Tons
1603,04-09-2014,True,The Bohemians,No Tour Assigned,Club Teatr'
1604,04-09-2014,True,Hercules and Love Affair,The Feast of the Broken Heart,Tsvetnoy Central Market
1605,04-09-2014,False,Plaid,No Tour Assigned,16 Tons
1606,31-08-2014,False,Secret Chiefs 3,No Tour Assigned,China-Town-Cafe
1607,30-08-2014,True,Unisonic,Light of Dawn,Zeleniy Theater
1608,30-08-2014,True,U.D.O.,No Tour Assigned,Zeleniy Theater
1609,30-08-2014,False,Catharsis,No Tour Assigned,Zeleniy Theater
1610,30-08-2014,True,Grave Digger,No Tour Assigned,Zeleniy Theater
1611,30-08-2014,False,Kipelov,No Tour Assigned,Zeleniy Theater
1612,30-08-2014,False,Wolf x Down,No Tour Assigned,
1613,30-08-2014,False,Epidemia,No Tour Assigned,Zeleniy Theater
1614,29-08-2014,False,Nike Borzov,No Tour Assigned,16 Tons
1615,27-08-2014,True,Uphill Work,No Tour Assigned,China-Town-Cafe
1616,27-08-2014,True,Agnostic Front,No Tour Assigned,Volta Club
1617,24-08-2014,False,Prāta Vētra,No Tour Assigned,Tsaritsyno Park
1618,23-08-2014,False,Billy's Band,No Tour Assigned,Muzeon Park
1619,23-08-2014,True,Brainstorm,No Tour Assigned,Tsaritsyno Park
1620,04-07-2011,True,Mastodon,2011 Summer Tour,Arena Moscow
1621,02-07-2011,True,Grinderman,Grinderman 2,Crocus City Hall
1622,02-07-2011,True,Erland and the Carnival,No Tour Assigned,Hermitage Garden
1623,02-07-2011,True,Maxïmo Park,No Tour Assigned,Hermitage Garden
1624,02-07-2011,False,Andy C,No Tour Assigned,Arena Moscow
1625,02-07-2011,True,Klaxons,No Tour Assigned,Hermitage Garden
1626,02-07-2011,False,Tracktor Bowling,No Tour Assigned,16 Tons
1627,01-07-2011,False,Architecture in Helsinki,No Tour Assigned,Solyanka club
1628,30-06-2011,True,Seal,Commitment,Crocus City Hall
1629,30-06-2011,False,Stick Men,Absalom,Forte Club
1630,30-06-2011,True,Blackfield,Welcome To My DNA Tour,Tochka
1631,30-06-2011,False,Eleanoora Rosenholm,No Tour Assigned,China-Town-Cafe
1632,30-06-2011,True,Miles Kane,No Tour Assigned,B2
1633,29-06-2011,True,Gogol Bordello,Rock In Summer,Zeleniy Theater
1634,29-06-2011,False,Amatory,No Tour Assigned,Olympijskiy Stadium
1635,29-06-2011,True,Slipknot,Memorial World Tour,Olympijskiy Stadium
1636,28-06-2011,True,Papa Roach,No Tour Assigned,Arena Moscow
1637,27-06-2011,False,Misery Index,No Tour Assigned,XO club
1638,27-06-2011,True,Kenny G,Heart & Soul Tour,Crocus City Hall
1639,26-06-2011,True,John Fogerty,No Tour Assigned,Crocus City Hall
1640,31-07-2010,True,Stromae,No Tour Assigned,Europa plus
1641,30-07-2010,False,Fucked Up,No Tour Assigned,Aktoviy Zal
1642,30-07-2010,True,Splean,No Tour Assigned,B1 Maximum Club
1643,30-07-2010,False,7????,No Tour Assigned,Ikra
1644,29-07-2010,True,Wu‐Tang Clan,No Tour Assigned,Arena Moscow
1645,29-07-2010,False,Ambidextrous,No Tour Assigned,Artplay
1646,28-07-2010,True,MIKA,No Tour Assigned,Arena Moscow
1647,28-07-2010,True,Branches of The Past,No Tour Assigned,XO club
1648,28-07-2010,True,Shane Street,Tour,XO club
1649,28-07-2010,True,Front Line Assembly,No Tour Assigned,Ikra
1650,27-07-2010,True,Jeff Beck,Emotion & Commotion Tour,Crocus City Hall
1651,23-07-2010,False,moremoney,No Tour Assigned,Squat Cafe
1652,22-07-2010,False,DJ Shadow,No Tour Assigned,Discoteque
1653,22-07-2010,True,Gogol Bordello,Familia Undestructable Tour,Zeleniy Theater
1654,20-07-2010,True,Bad Religion,No Tour Assigned,Milk
1655,19-07-2010,True,Good Charlotte,No Tour Assigned,B1 Maximum Club
1656,18-07-2010,True,Seremedy,No Tour Assigned,XO club
1657,18-07-2010,True,Shane Street,Tour,Blur Cafe
1658,17-07-2010,False,Tracktor Bowling,No Tour Assigned,Ikra
1659,16-07-2010,False,CAB,No Tour Assigned,Igor Butman's Club
1660,13-02-2012,True,Seether,2012 Time Of My Life World Tour (Off-Date),Milk
1661,12-02-2012,False,Flatfoot 56,No Tour Assigned,Plan B Club
1662,12-02-2012,False,Maksim,No Tour Assigned,Crocus City Hall
1663,11-02-2012,False,SunSay,No Tour Assigned,16 Tons
1664,11-02-2012,True,Rammstein,Made In Germany 1995-2011 Tour,Olympijskiy Stadium
